YEAR,STATEFIP,age_group,mean_INCWAGE
2010,21,19-25,15355.301993228124
2010,21,26-34,28838.151201196604
2010,21,35-54,37516.6918537583
2010,21,55-64,30536.627954142183
2010,21,65+,4814.221496153723
2010,21,nan,0.0
2010,22,18 and under,290.8210815510946
2010,22,19-25,10350.6722211923
2010,22,26-34,39426.823776802514
2010,22,35-54,42330.90496358781
2010,22,55-64,27056.42855303716
2010,22,65+,6602.1164733855185
2010,22,nan,0.0
2010,23,18 and under,427.65451977871913
2010,23,19-25,14755.651090283638
2010,23,26-34,31967.37761465652
2010,23,35-54,42081.3605577264
2010,23,55-64,31574.283510660964
2010,23,65+,4527.133187204217
2010,23,nan,0.0
2010,24,18 and under,317.33006797219275
2010,24,19-25,16944.657229983502
2010,24,26-34,40832.54168257622
2010,24,35-54,56957.10443962091
2010,24,55-64,44674.34609152772
2010,24,65+,9240.274857655868
2010,24,nan,0.0
2010,25,18 and under,403.38132366995154
2010,25,19-25,17920.867992292766
2010,25,26-34,42284.70893607136
2010,25,35-54,59271.211839103256
2010,25,55-64,44966.57817538201
2010,25,65+,9442.639667640231
2010,25,nan,0.0
2010,26,18 and under,254.7502175073266
2010,26,19-25,10937.518495587266
2010,26,26-34,31459.092103608265
2010,26,35-54,43686.362206111065
2010,26,55-64,29857.261663996018
2010,26,65+,6622.5264199532885
2010,26,nan,0.0
2010,27,18 and under,413.2799641354155
2010,27,19-25,18512.766736162714
2010,27,26-34,39773.474324669536
2010,27,35-54,49338.31225996228
2010,27,55-64,39088.32864586777
2010,27,65+,7861.147564529
2010,27,nan,0.0
2010,28,18 and under,262.31221706997184
2010,28,19-25,13412.944766713814
2010,28,26-34,25416.217564532828
2010,28,35-54,32635.598518800576
2010,28,55-64,25350.644684904688
2010,28,65+,12611.721770819073
2010,28,nan,0.0
2010,29,18 and under,411.89345728319665
2010,29,19-25,13771.020549010616
2010,29,26-34,34039.79813485126
2010,29,35-54,41991.86776441723
