"","ENTITYNAME","CIPCode","CIPTITLE","ROI_Report_Group","DegreeLevelId","DEGREE","years_after_completion","annual_earnings"
"99","ALL","50.05","Drama/Theatre Arts and Stagecraft.","Arts, Humanities and Communication","01","Certificate(<1 year)",1,"29596"
"100","ALL","30.05","Peace Studies and Conflict Resolution.","Arts, Humanities and Communication","31","Master's Degree",1,"66200.399999999994"
"101","ALL","27.01","Mathematics.","Science, Technology, Engineering and Math","61","Doctoral Degree",1,"58011.77"
"102","ALL","30.99","Multi/Interdisciplinary Studies, Other.","Arts, Humanities and Communication","01","Certificate(<1 year)",1,"21855.86"
"103","ALL","52.04","Business Operations Support and Assistant Services.","Business","01","Certificate(<1 year)",1,"23129.200000000001"
"104","ALL","51.24","Veterinary Medicine.","Health","61","Doctoral Degree",1,"51282.27"
"105","ALL","12.04","Cosmetology and Related Personal Grooming Services.","Trades","02","Certificate(>1 year)",1,"20761.259999999998"
"106","ALL","41.01","Biology Technician/Biotechnology Laboratory Technician.","Science, Technology, Engineering and Math","02","Certificate(>1 year)",1,"67742.44"
"107","ALL","03.02","Natural Resources Management and Policy.","Science, Technology, Engineering and Math","02","Certificate(>1 year)",1,"20641.14"
"108","ALL","52.03","Accounting and Related Services.","Business","13","Associate Degree(AA or AS)",1,"46655"
"109","ALL","46.99","Construction Trades, Other.","Trades","01","Certificate(<1 year)",1,"22672"
"110","ALL","01.01","Agricultural Business and Management.","Science, Technology, Engineering and Math","31","Master's Degree",1,"39152.800000000003"
"111","ALL","49.02","Ground Transportation.","Trades","02","Certificate(>1 year)",1,"33374.25"
"112","ALL","27.05","Statistics.","Science, Technology, Engineering and Math","31","Master's Degree",1,"44814.77"
"113","ALL","45.07","Geography and Cartography.","Social and Behavioral Sciences and Human Services","61","Doctoral Degree",1,"47909.67"
"114","ALL","50.03","Dance.","Arts, Humanities and Communication","21","Bachelor's Degree",1,"27036.240000000002"
"115","ALL","40.06","Geological and Earth Sciences/Geosciences.","Science, Technology, Engineering and Math","61","Doctoral Degree",1,"60322.32"
"116","ALL","14.21","Mining and Mineral Engineering.","Science, Technology, Engineering and Math","21","Bachelor's Degree",1,"70269.789999999994"
"117","ALL","47.01","Electrical/Electronics Maintenance and Repair Technology.","Trades","01","Certificate(<1 year)",1,"27486.86"
"118","ALL","14.20","Metallurgical Engineering.","Science, Technology, Engineering and Math","21","Bachelor's Degree",1,"56588.22"
"119","ALL","26.07","Zoology/Animal Biology.","Science, Technology, Engineering and Math","21","Bachelor's Degree",1,"22884.28"
"120","ALL","50.05","Drama/Theatre Arts and Stagecraft.","Arts, Humanities and Communication","21","Bachelor's Degree",1,"23782"
"121","ALL","51.25","Veterinary Biomedical and Clinical Sciences.","Health","31","Master's Degree",1,"90966.45"
"122","ALL","16.05","Germanic Languages, Literatures, and Linguistics.","Arts, Humanities and Communication","21","Bachelor's Degree",1,"21977.23"
"123","ALL","26.09","Physiology, Pathology and Related Sciences.","Science, Technology, Engineering and Math","31","Master's Degree",1,"32830.47"
"124","ALL","26.13","Ecology, Evolution, Systematics, and Population Biology.","Science, Technology, Engineering and Math","31","Master's Degree",1,"42890.47"
"125","ALL","42.01","Psychology, General.","Social and Behavioral Sciences and Human Services","61","Doctoral Degree",1,"51441.56"
"126","ALL","48.07","Woodworking.","Trades","02","Certificate(>1 year)",1,"32471.88"
"127","ALL","50.05","Drama/Theatre Arts and Stagecraft.","Arts, Humanities and Communication","61","Doctoral Degree",1,"41122.49"
"128","ALL","10.03","Graphic Communications.","Arts, Humanities and Communication","02","Certificate(>1 year)",1,"25173.55"
"129","ALL","09.01","Communication and Media Studies.","Arts, Humanities and Communication","61","Doctoral Degree",1,"54155.7"
"130","ALL","40.04","Atmospheric Sciences and Meteorology.","Science, Technology, Engineering and Math","31","Master's Degree",1,"49746.66"
"131","ALL","16.12","Classics and Classical Languages, Literatures, and Linguistics.","Arts, Humanities and Communication","21","Bachelor's Degree",1,"25197.26"
"132","ALL","26.07","Zoology/Animal Biology.","Science, Technology, Engineering and Math","31","Master's Degree",1,"36661.06"
"133","ALL","14.13","Engineering Science.","Science, Technology, Engineering and Math","61","Doctoral Degree",1,"96538.53"
"134","ALL","10.03","Graphic Communications.","Arts, Humanities and Communication","21","Bachelor's Degree",1,"23858"
"135","ALL","30.18","Natural Sciences.","Arts, Humanities and Communication","61","Doctoral Degree",1,"47991.75"
"136","ALL","49.01","Air Transportation.","Trades","02","Certificate(>1 year)",1,"78369.52"
"137","ALL","51.07","Health and Medical Administrative Services.","Health","13","Associate Degree(AA or AS)",1,"20945.599999999999"
"138","ALL","26.03","Botany/Plant Biology.","Science, Technology, Engineering and Math","21","Bachelor's Degree",1,"22862.67"
"139","ALL","31.05","Health and Physical Education/Fitness.","Social and Behavioral Sciences and Human Services","02","Certificate(>1 year)",1,"20076.400000000001"
"140","ALL","51.18","Ophthalmic and Optometric Support Services and Allied Professions.","Health","01","Certificate(<1 year)",1,"25224"
"141","ALL","19.07","Human Development, Family Studies, and Related Services.","Social and Behavioral Sciences and Human Services","12","Associate of General Studies",1,"18503.080000000002"
"142","ALL","50.10","Arts, Entertainment,and Media Management.","Arts, Humanities and Communication","31","Master's Degree",1,"25663.05"
"143","ALL","42.28","Clinical, Counseling and Applied Psychology.","Social and Behavioral Sciences and Human Services","01","Certificate(<1 year)",1,"19229.73"
"144","ALL","30.01","Biological and Physical Sciences.","Arts, Humanities and Communication","21","Bachelor's Degree",1,"26857.19"
"145","ALL","14.14","Environmental/Environmental Health Engineering.","Science, Technology, Engineering and Math","61","Doctoral Degree",1,"71137.17"
"146","ALL","10.01","Communications Technology/Technician.","Arts, Humanities and Communication","11","Associate of Applied Science",1,"22159.279999999999"
"147","ALL","16.05","Germanic Languages, Literatures, and Linguistics.","Arts, Humanities and Communication","31","Master's Degree",1,"31020.26"
"148","ALL","16.01","Linguistic, Comparative, and Related Language Studies and Services.","Arts, Humanities and Communication","61","Doctoral Degree",1,"44306.83"
"149","ALL","26.04","Cell/Cellular Biology and Anatomical Sciences.","Science, Technology, Engineering and Math","31","Master's Degree",1,"37206.76"
"150","ALL","13.14","Teaching English or French as a Second or Foreign Language.","Education","01","Certificate(<1 year)",1,"24622.29"
"151","ALL","50.04","Design and Applied Arts.","Arts, Humanities and Communication","01","Certificate(<1 year)",1,"28092.57"
"152","ALL","01.12","Soil Sciences.","Science, Technology, Engineering and Math","21","Bachelor's Degree",1,"39637.75"
"153","ALL","45.02","Anthropology.","Social and Behavioral Sciences and Human Services","31","Master's Degree",1,"42478.47"
"154","ALL","50.06","Film/Video and Photographic Arts.","Arts, Humanities and Communication","11","Associate of Applied Science",1,"24689.52"
"155","ALL","10.03","Graphic Communications.","Arts, Humanities and Communication","11","Associate of Applied Science",1,"23165.24"
